ï»¿"","Órgão","Cargo","Favorecido","Saída","Chegada","Destino","Qtd.","Diária","Total","Pgto.","Históricos","CNPJ","Ano","SqLiquidacao","ParentForm","SqDiaria","TpOrigem"
"","SECRETARIA DE SAÚDE","PSICÓLOGA","MARYSSA MARLA MARTINS DE OLIVEIRA VICTOR","06/07/2017","09/07/2017","SALVADOR/BA","3","100,00","300,00","20/07/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MARYSSA MARLA MARTINS DE OLIVEIRA VICTOR PSICÓLOGA PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 06 A 08/07/2017 PARA PARTICIPAR DO I SIMPÓSIO NORTE - NORDESTE DE PREVENÇÃO E POSVENÇÃO DO SUICÍDIO, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2017","680","frmCadLiqEmpenho","1","E"
"","SECRETARIA DE SAÚDE","COORDENADORA DA ATENÇÃO BÁSICA","MANUELA SANTOS DA CONCEIÇÃO","21/07/2017","21/07/2017","SALVADOR/BA","1","140,00","140,00","15/08/2017","LIQUIDADO PARA PAGAMENTO A CONCESSÃO DE DIÁRIA PARA A SRª MANUELA SANTOS DA CONCEIÇÃO COORDENADORA DE ATENÇÃO BÁSICA PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 21 DE JULHO DE 2017 PARA PARTICIPAR DA PACTUAÇÃO DO PLANO DE AÇÃO MUNICIPAL, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2017","821","frmCadLiqEmpenho","1","E"
"","SECRETARIA DE SAÚDE","SECRETARIO(A) DE SAÚDE","NILSON DE SANTANA","21/07/2017","21/07/2017","SALVADOR/BA","1","240,00","240,00","17/08/2017","LIQUIDADO PARA PAGAMENTO A CONCESSÃO DE DIÁRIA PARA A SRº NILSON DE SANTANA SECRETARIO MUNICIPAL DE SAÚDE PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NO DIA 21 DE JULHO DE 2017 PARA PARTICIPAR DA PACTUAÇÃO DO PLANO DE AÇÃO MUNICIPAL, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2017","822","frmCadLiqEmpenho","1","E"
"","SECRETARIA DE SAÚDE","COORDENADORA DA ATENÇÃO BÁSICA","MANUELA SANTOS DA CONCEIÇÃO","15/08/2017","16/08/2017","SALVADOR/BA","2","140,00","280,00","18/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª MANUELA SANTOS DA CONCEIÇÃO COORDENADORA DA ATENÇÃO BÁSICA PARA CUSTEAR VIAGEMA A CIDADE DE SALVADOR/BA PARA PARTICIPAR DA CAPACITAÇÃO SOBRE REGISTRO DOS PROCEDIMENTOS SIA/SUS E DO TREINAMENTO DO ESUS-AB NOS DIAS 15 E 16 DE AGOSTO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2017","823","frmCadLiqEmpenho","1","E"
"","SECRETARIA DE SAÚDE","AGENTE ADMINISTRATIVO","JANDERSON MOURA MACIEL","15/08/2017","16/08/2017","SALVADOR/BA","2","140,00","280,00","18/08/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº JANDERSON MOURA MACIEL AGENTES ADMINISTRATIVO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA PARA PARTICIPAR DA CAPACITAÇÃO SOBRE REGISTRO DOS PROCEDIMENTOS SIA/SUS E DO TREINAMENTO DO ESUS-AB NOS DIAS 15 E 16 DE AGOSTO DE 2017, CONFORME REQUISIÇÃO EM ANEXO.","13320152000113","2017","824","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","19/01/2017","19/01/2017","FEIRA DE SANTANA/BA","1","90,00","90,00","06/03/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACÊDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS, PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA E SALVADOR/BA NOS DIAS 19, 29, 30 E 31 DE JANEIRO E 01E 09 DE FEVEREIRO DE 2017 PARA TRATAR DE ASSUNTOS DE INTERESSE DA PREFEITURA MUNICIPAL DE TUCANO, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","93","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","29/01/2017","01/02/2017","SALVADOR/BA","3","140,00","420,00","06/03/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACÊDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS, PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA E SALVADOR/BA NOS DIAS 19, 29, 30 E 31 DE JANEIRO E 01E 09 DE FEVEREIRO DE 2017 PARA TRATAR DE ASSUNTOS DE INTERESSE DA PREFEITURA MUNICIPAL DE TUCANO, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","93","frmCadLiqEmpenho","2","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","09/02/2017","09/02/2017","SALVADOR/BA","1","140,00","140,00","06/03/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACÊDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS, PARA CUSTEAR VIAGEM A CIDADE DE FEIRA DE SANTANA E SALVADOR/BA NOS DIAS 19, 29, 30 E 31 DE JANEIRO E 01E 09 DE FEVEREIRO DE 2017 PARA TRATAR DE ASSUNTOS DE INTERESSE DA PREFEITURA MUNICIPAL DE TUCANO, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","93","frmCadLiqEmpenho","3","E"
"","GABINETE DO PREFEITO","DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS","ISABELLA MACÊDO DE OLIVEIRA","03/03/2017","05/03/2017","SALVADOR","3","140,00","420,00","10/03/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRª ISABELLA MACÊDO DE OLIVEIRA DIRETORA DE NÚCLEO DE CAPTAÇÃO DE RECURSOS, PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR NOS DIAS 03,04,05/03/2017, PARA TRATAR DE ASSUNTOS DE INTERESSE DA PREFEITURA MUNICIPAL DE TUCANO, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","180","frmCadLiqEmpenho","1","E"
"","GABINETE DO PREFEITO","CONTROLADOR GERAL DO MUNICIPIO","ADRIANO MACEDO DE JESUS","03/03/2017","06/03/2017","SALVADOR","2","240,00","480,00","10/03/2017","LIQUIDADO PARA PAGAMENTO A DESPESA NA CONCESSÃO DE DIÁRIA PARA SRº ADRIANAO MACEDO DE JESUS CONTROLADOR GERAL DO MUNICIPIO PARA CUSTEAR VIAGEM A CIDADE DE SALVADOR/BA NOS DIAS 04 E 05 DE MARÇO DE 2017, PARA PARTICIPAR DAS AULAS DO MODULO I DO CURSO FORMAÇÃO E APERFEIÇOAMENTO EM CONTROLADORIA INTERNA, CONFORME SOLICITAÇÃO EM ANEXO.","13810312000102","2017","181","frmCadLiqEmpenho","1","E"
