ï»¿"","Conta Contábil","Data","Fornecedor","Valor","Histórico"
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$974,55","LIQUIDADO PARA PAGAMENO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","580.602.785-68 - CLERISTON SANTANA DE OLIVEIRA","R$898,65","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO SECRETARIAO DE ADMINISTRAÇÃO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","012.975.005-04 - CARLOS ALBERTO DA SILVA","R$2.548,65","LIQUIDADO PARA PAGAMENTO A DESPESA COM SUBSÍDIOS DO VICE PREFEITO DESTE  MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$3.317,88","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO  MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE PLANEJAMENTO E FINANÇAS, REFERENTE O FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$5.015,46","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$3.566,71","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO A SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$5.348,33","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$214,40","LIQUIDADO PARA PAGAMENTO A DESPESA COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA PROCURADORIA JURÍDICA DO MUNICIPIO JUNTO AO GABINETE DO PREFEITO DESTE MUNICIPIO, REFERENTE AO MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$33.370,61","LIQUIDADO PARA PAGAMENTO A DESPESAS COM VENCIMENTOS DOS SERVIDORES PÚBLICO MUNICIPAL LOTADOS NA SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS DESTE MUNICIPIO, REFERENTE O MÊS FEVEREIRO DE 2020."
"","Banco Bradesco - Empréstimo Consignados (f)","28/02/2020","13.810.312/0001-02 - PREFEITURA MUNICIPAL DE TUCANO","R$26.429,49","LIQUIDADO PARA PAGAMENTO A DESPESAS NO VENCIMENTOS DOS SERVIDORES PÚBLICOS MUNICIPAL LOTADOS NA VIGILÂNCIA MUNICIPAL JUNTO A SECRETARIA MUNICIPAL DE SEGURANÇA E ORDEM PÚBLICA, REFERENTE MÊS FEVEREIRO DE 2020."
