ï»¿"","Receita","Descrição da Receita","Orçado","Real. Período","Real. Acum.","%"
"","171804110500","Apoio Financeiro ao Bloco da Proteção Social Básica","R$0,00","R$131.882,23","R$131.882,23","0.00"
"","171803110900","Apoio Financeiro para Ações e Serviços Públicos de Saúde","R$0,00","R$329.705,57","R$329.705,57","0.00"
"","171804110400","Bloco da Gestão do Programa Bolsa Família e do Cadastro Único","R$128.284,00","R$280.318,22","R$280.318,22","218.51"
"","171804110300","Bloco da Gestão do SUAS","R$290.424,00","R$0,00","R$0,00","0.00"
"","171804110100","Bloco da Proteção Social Básica","R$899.075,00","R$480.900,00","R$480.900,00","53.48"
"","172899110100","Bloco da Proteção Social Básica","R$70.981,00","R$77.392,00","R$77.392,00","109.03"
"","171804110200","Bloco da Proteção Social Especial","R$132.377,00","R$131.200,00","R$131.200,00","99.11"
"","172899110200","Bloco da Proteção Social Especial","R$67.210,00","R$76.680,00","R$76.680,00","114.09"
"","171803110400","Bloco de Assistência Farmacêutica","R$314.409,00","R$317.759,13","R$317.759,13","101.06"
"","171803110100","Bloco de Atenção Básica","R$4.209.504,00","R$5.296.995,69","R$5.296.995,69","125.83"
"","171803110200","Bloco de Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar","R$2.347.444,00","R$2.335.765,56","R$2.335.765,56","99.50"
"","171803110500","Bloco de Gestão do SUS","R$31.356,00","R$27.000,00","R$27.000,00","86.10"
"","171803110300","Bloco de Vigilância em Saúde","R$415.970,00","R$448.336,56","R$448.336,56","107.78"
"","124000110000","Contribuição para o Custeio do Serviço de Iluminação Pública - Principal","R$545.380,00","R$665.781,16","R$665.781,16","122.07"
"","241810910400","Convênio 00513/2017 - Destinado a Execução de Obras de Engenharia nos Assentamentos de Reforma Agrária","R$0,00","R$542.858,00","R$542.858,00","0.00"
"","171802210000","Cota-parte da Compensação Financeira de Recursos Minerais - CFEM - Principal","R$115.803,00","R$169.970,62","R$169.970,62","146.77"
"","172801410000","Cota-Parte da Contribuição de Intervenção no Domínio Econômico - Principal","R$86.601,00","R$76.861,65","R$76.861,65","88.75"
"","171801310000","Cota-Parte do Fundo de Participação do Municípios – 1% Cota entregue no mês de dezembro - Principal","R$1.367.130,00","R$1.368.246,22","R$1.368.246,22","100.08"
"","171801410000","Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho - Principal","R$1.367.130,00","R$1.334.932,98","R$1.334.932,98","97.64"
"","171801210000","Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal","R$32.410.823,00","R$30.817.914,05","R$30.817.914,05","95.08"
"","171802610000","Cota-Parte do Fundo Especial do Petróleo – FEP - Principal","R$342.915,00","R$512.805,00","R$512.805,00","149.54"
"","172801110000","Cota-Parte do ICMS - Principal","R$6.927.333,00","R$7.170.272,69","R$7.170.272,69","103.50"
"","171801510000","Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - Principal","R$16.268,00","R$13.139,94","R$13.139,94","80.77"
"","172801310000","Cota-Parte do IPI - Municípios - Principal","R$71.613,00","R$74.346,65","R$74.346,65","103.81"
"","172801210000","Cota-Parte do IPVA - Principal","R$1.111.895,00","R$1.086.031,24","R$1.086.031,24","97.67"
"","171802310000","Cota-parte Royalties – Compensação Financeira pela Produção de Petróleo – Lei nº 7.990/89 - Principal","R$0,00","R$24.141,96","R$24.141,96","0.00"
"","171802510000","Cota-parte Royalties pela Participação Especial – Lei nº 9.478/97, artigo 50 - Principal","R$19.189,00","R$0,00","R$0,00","0.00"
